shape,rate,shift,llh.missing,llh.all
5.9375,0.90625,6.625,-207.007815098801,-207.007815098801
5.9375,0.90625,6.875,-207.730970228347,-207.730970228347
6.5625,0.84375,6.375,-207.772604230377,-207.772604230377
6.5625,0.78125,6.875,-207.233036754277,-207.233036754277
6.5625,0.84375,6.625,-206.641137539806,-206.641137539806
6.5625,0.84375,6.875,-205.937378843369,-205.937378843369
7.1875,0.84375,6.875,-208.000486558058,-208.000486558058
6.5625,0.90625,6.125,-207.644984679111,-207.644984679111
6.5625,0.90625,6.375,-206.636999102447,-206.636999102447
6.5625,0.96875,6.125,-207.028608832535,-207.028608832535
6.5625,0.96875,6.375,-206.563350662084,-206.563350662084
7.1875,0.96875,6.375,-207.3049648861,-207.3049648861
6.5625,0.90625,6.625,-206.089418398875,-206.089418398875
6.5625,0.90625,6.875,-205.960751885771,-205.960751885771
6.5625,0.96875,6.625,-206.548841480315,-206.548841480315
6.5625,0.96875,6.875,-206.943327799759,-206.943327799759
7.1875,0.90625,6.625,-207.372096022448,-207.372096022448
7.1875,0.90625,6.875,-206.353017016701,-206.353017016701
7.1875,0.96875,6.625,-206.410172902679,-206.410172902679
7.1875,0.96875,6.875,-205.963499238254,-205.963499238254
5.3125,0.78125,7.125,-207.810201973725,-207.810201973725
5.9375,0.78125,7.125,-205.741088851922,-205.741088851922
5.9375,0.78125,7.375,-206.063815009733,-206.063815009733
5.9375,0.84375,7.125,-206.81214546626,-206.81214546626
5.9375,0.84375,7.375,-207.694917598378,-207.694917598378
5.9375,0.78125,7.625,-206.696176910858,-206.696176910858
5.9375,0.78125,7.875,-207.615485688477,-207.615485688477
6.5625,0.78125,7.125,-206.300111002164,-206.300111002164
6.5625,0.78125,7.375,-205.736453360689,-205.736453360689
6.5625,0.84375,7.125,-205.625834270522,-205.625834270522
6.5625,0.84375,7.375,-205.675523063028,-205.675523063028
7.1875,0.78125,7.375,-207.957563375223,-207.957563375223
7.1875,0.84375,7.125,-206.786003418256,-206.786003418256
7.1875,0.84375,7.375,-205.966671158289,-205.966671158289
6.5625,0.78125,7.625,-205.514988736577,-205.514988736577
6.5625,0.78125,7.875,-205.611633980491,-205.611633980491
6.5625,0.84375,7.625,-206.059109518782,-206.059109518782
6.5625,0.84375,7.875,-206.75225665883,-206.75225665883
7.1875,0.78125,7.625,-206.850799235348,-206.850799235348
7.1875,0.78125,7.875,-206.092293697096,-206.092293697096
7.1875,0.84375,7.625,-205.513637198986,-205.513637198986
7.1875,0.84375,7.875,-205.401195886669,-205.401195886669
6.5625,0.90625,7.125,-206.215237186884,-206.215237186884
6.5625,0.90625,7.375,-206.821631195499,-206.821631195499
6.5625,0.96875,7.125,-207.710790106208,-207.710790106208
7.1875,0.90625,7.125,-205.753529456879,-205.753529456879
7.1875,0.90625,7.375,-205.540685415048,-205.540685415048
7.1875,0.96875,7.125,-205.926976486659,-205.926976486659
7.1875,0.96875,7.375,-206.267394253148,-206.267394253148
6.5625,0.90625,7.625,-207.752343715575,-207.752343715575
7.1875,0.90625,7.625,-205.685370197862,-205.685370197862
7.1875,0.90625,7.875,-206.161622550591,-206.161622550591
7.1875,0.96875,7.625,-206.955382754658,-206.955382754658
7.1875,0.96875,7.875,-207.964734220785,-207.964734220785
7.8125,0.84375,7.625,-207.222552874719,-207.222552874719
7.8125,0.84375,7.875,-206.273072280968,-206.273072280968
7.8125,0.90625,7.125,-207.408009278886,-207.408009278886
7.8125,0.90625,7.375,-206.34173641303,-206.34173641303
7.8125,0.96875,7.125,-206.068607752762,-206.068607752762
7.8125,0.96875,7.375,-205.60232853238,-205.60232853238
8.4375,0.96875,7.125,-208.134872854858,-208.134872854858
